連番1	連番2	連番3	所要区分	親指図番号	割当(WBS)	受注伝票	入出庫番号	入庫保管場所	親品目コード	親品目テキスト	原価センタテキスト	出荷伝票	出庫数量	親MRP管理者	親指図計画開始日	親指図計画終了日	BOM明細番号	子指図番号	子品目コード	子品目テキスト	所要日	所要残数	在庫数	在庫引当	所要引当残数	子MRP管理者	購買発注番号	子指図計画開始日	子指図計画終了日	計画数量	計画引当	計画引当残数	作業区４	作業区５	払出完了	進捗	工程(子)	C	A	C,A以外	作業0020時間(分)	作業0030時間(分)	作業0040時間(分)	作業0050時間(分)	作業0060時間(分)	検査	標準原価	指図テキスト
0000000284	0000000002	0000000001	在庫転送				8173321-0100	1142					4.000					50119992	P00A0720000	WK-7200 OUTPUT FILTER	2025/09/23	4.000	0.000	0.000	4.000	PC1		2025/09/01	2025/09/22	24.000	4.000	7.000	A0801	A0802	○	○○○○○○○○		0	360	528	0.000	0.000	0.000	0.000	27.000		3,932.000000	
0000000285	0000000003	0000000001	在庫転送				8191146-0100	1142					4.000					50119992	P00A0720000	WK-7200 OUTPUT FILTER	2025/11/17	4.000	0.000	0.000	4.000	PC1		2025/09/01	2025/09/22	24.000	4.000	3.000	A0801	A0802	○	○○○○○○○○		0	360	528	0.000	0.000	0.000	0.000	27.000		3,932.000000	
0000000286	0000000001	0000000001	在庫転送				7993005-0100	1142					15.000					50119704	P00A0720100	WK-7201B DDC	2025/06/20	8.000	0.000	0.000	8.000	PC1		2025/09/01	2025/09/22	8.000	8.000	0.000	A0801	A0802	＊	＊＊＊＊○○○○		328	832	448	0.000	16.000	12.000	1.000	49.000	D	15,153.000000	
0000000287	0000000002	0000000002	在庫転送				8103562-0100	1142					20.000					50119993	P00A0720100	WK-7201B DDC	2025/07/23	20.000	0.000	0.000	20.000	PC1		2025/09/01	2025/09/22	24.000	20.000	4.000	A0801	A0802	＊	＊＊＊○○○○○		984	2,496	1,344	0.000	16.000	12.000	1.000	49.000	D	15,153.000000	
0000000288	0000000003	0000000002	在庫転送				8173322-0100	1142					5.000					50119993	P00A0720100	WK-7201B DDC	2025/11/17	5.000	0.000	0.000	5.000	PC1		2025/09/01	2025/09/22	24.000	4.000	0.000	A0801	A0802	＊	＊＊＊○○○○○		984	2,496	1,344	0.000	16.000	12.000	1.000	49.000	D	15,153.000000	
0000000289	0000000003	0000000003	在庫転送				8173322-0100	1142					5.000					50120613	P00A0720100	WK-7201B DDC	2025/11/17	5.000	0.000	0.000	5.000	PC1		2025/10/24	2025/11/14	8.000	1.000	7.000	A0801	A0802	○	○○○○○○○○		336	824	448	0.000	16.000	12.000	1.000	49.000	D	15,153.000000	
0000000290	0000000001	0000000001	在庫転送				8177212-0100	1142					5.000					50120277	P00A0720200	WK-7202 RELAY I/F1	2025/07/23	5.000	0.000	0.000	5.000	PC1		2025/09/01	2025/09/22	8.000	5.000	3.000	A0801	A0802	○	○○○＊○○○－		0	288	368	0.000	0.000	0.000	0.000	11.000		11,946.000000	
0000000291	0000000001	0000000001	在庫転送				8173324-0100	1142					5.000					50120627	P00A0720300	WK-7203 RELAY I/F2	2025/11/17	1.000	0.000	0.000	1.000	PC1		2025/10/24	2025/11/14	1.000	1.000	0.000	A0801	A0802	○	○○○○○○○－		0	20	35	0.000	0.000	0.000	0.000	11.000		9,667.000000	
0000000292	0000000001		製造指図出庫	10133901			8189219-0020	1210	U00A0216701	＆D-57AC-12-00-A			1.000	B58	2025/11/17	2025/12/01	0060		P00A0720703	IK-7207 C U03(通信抑制)	2025/11/17	1.000	1.000	1.000	0.000																						15,382.000000	
0000000293	0000000001	0000000001	在庫転送				8103590-0100	1142					61.000					50119707	P00A0723200	WK-7232B KP CONTROL	2025/07/23	61.000	0.000	0.000	61.000	PC1		2025/07/30	2025/09/22	47.000	47.000	0.000	A0801	A0802	＊	＊＊＊＊＊○○○		21,573	94	658	0.000	79.000	22.000	3.000	0.000		11,737.000000	
